review,sentiment,processed_review
" I love it.  	1
The ending is so, SO perfect... you'll shed a tear.  	1
I am so thrilled after seeing a movie like this.  	1
I will never forget it now.  	1
It is not just a cult... it is a cult CLASSIC.  	1
Which has more depth and character than the man underneath it.  	0
The Malta settings are as dry and as barren as the dialogue.  	0
This movie is terrible.  	0
The hockey scenes are terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.  	0
For those that haven't seen it, don't waste your time!  	0
To call this movie a drama is ridiculous!  	0
Started watching this but didn't believe in any of the characters.  	0
In particular the relationship between the bakery assistant and the waitress just didn't work for me at all.  	0
It was a very superficial movie and it gave me the feeling that I was watching play rather than a film.  	0
The characters were very 'stagey' and the storyline was a lot like a stage farce.  	0
By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.  	0
Glad I didn't pay to see it.  	0
Didn't laugh or even smile once.  	0
But it wasn't anything at all just one big yawn...  	0
It is a really good show to watch.  	1
It is very educational for children 1 to 8 years old.  	1
Barney is definitely super DE duper.  	1
is pretty funny.  	1
Babie Bop is very cute.  	1
The kids are very cool too.  	1
 But ""Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.  ",0,love end perfect youll shed tear thrill see movie like never forget cult cult classic depth character man underneath malta setting dry barren dialogue movie terrible hockey scene terrible defensemen play like theyre year old goalie dive shots foot wide net etc havent see dont waste time call movie drama ridiculous start watch didnt believe character particular relationship bakery assistant waitress didnt work superficial movie give feel watch play rather film character stagey storyline lot like stage farce time pyromaniac waylaid assistant bore didnt care happen next switched glad didnt pay see didnt laugh even smile wasnt anything one big yawn really good show watch educational child year old barney definitely super de duper pretty funny babie bop cute kid cool storm trooper even bad enough make list wonderfully terrible movie
It's just lame.  ,0,lame
The guy who said he's had better dialogue with his potted plants has it right.  ,0,guy say he well dialogue pot plant right
Everything about this movie is stupid.  ,0,everything movie stupid
"Even if you love bad movies, do not watch this movie.  ",0,even love bad movie watch movie
It is shameful.  ,0,shameful
I would give this television series a 10 plus if i could.  ,1,would give television series plus could
"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.  ",1,writer smack think best actor actresses bonus showthese character real
I must say I have taped most of the episodes and i find myself watching them over and over again.  ,1,must say taped episode find watch
Now you know why I gave it a 10+!  ,1,know give
"I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.  ",1,dont know exactly movie latch endear movie become special part family memory
I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.  ,1,totally absolutely recommend movie anyone like good wholesome family movie exactly
The things that the four kids get themselves into is absolutely hilarious to watch.  ,1,thing four kid get absolutely hilarious watch
This is one of the best movies out there that shows such strong sibling bond for each other.  ,1,one best movie show strong sibling bond
"Much more interesting, more action, more suspense, and less of the unneeded controversy.  ",1,much interesting action suspense less unneeded controversy
Everything from acting to cinematography was solid.  ,1,everything act cinematography solid
Definitely worth checking out.  ,1,definitely worth check
Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.  ,1,damian talented versatile many way write portray different character screen
This movie has a cutting edge to it.  ,1,movie cutting edge
"I am so pleased to know such a modern day genius is out there , letting is passion for Art drive him and taking us as an audience with him.  ",1,please know modern day genius let passion art drive take u audience
"The new characters weren't all that memorable, and I found myself forgetting who was who.  ",0,new character werent memorable found forgetting
I felt as though her going to Ireland did absolutely nothing whatsoever.  ,0,felt though go ireland absolutely nothing whatsoever
"It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.  ",0,didnt make scared horrified make sympathetic towards character simply annoy
The jerky camera movements were also annoying.  ,0,jerky camera movement also annoy
The plot was the same as pretty much every other cheap horror.  ,0,plot pretty much every cheap horror
"There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.  ",0,pathetic attempt give character depth didnt really work rest plot
"I guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.  ",0,guess suppose clever twist shed light situation stupid
"If you see it, you should probably just leave it on the shelf.  ",0,see probably leave shelf
"Elias Koteas,Jack Palance play good roles Angelina is hot and gets naked.Billy Drago appears in this and is cool as usual + a cameo by Sven ole Thorsen helps make this a very enjoyable movie with good acting and a decent budget.  ",1,elias koteasjack palance play good role angelina hot get nakedbilly drago appear cool usual cameo sven ole thorsen help make enjoyable movie good act decent budget
This was such an awesome movie that i bought it off of Ebay.  ,1,awesome movie buy ebay
"I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)  ",1,really loved story line poler bear kinda cutebut anyone question fort steele ask away
This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  ,0,totally unfunny movie top pathetic unrealistic throughout whole minute utter torture probably look watch time
Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.  ,0,lucy bell much high crap sink low quite depress
All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.  ,0,movie make sick watching slacker make excuse stupid action minute
"God, and I can never get that 90 minutes back!  ",0,god never get minute back
"I think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.  ",1,think wonderful part literally full wonder excerpt work
"The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.  ",1,set especially design work camera amazingstylized beautiful effective
They could be used as exemplars for any set designer.  ,1,could use exemplar set designer
The stories were powerful explorations of the nature of man and of art.  ,1,story powerful exploration nature man art
"After watching this film, I wanted to learn more about the works of this artist.  ",1,watch film want learn work artist
"I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.  ",1,highly recommend movie anyone interested art poetry theater politics japanese history
"Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.  ",1,wind lion see wonderful render americas imperial age
") What makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated Brian Keith playing a bully Teddy - and vivid history.  ",1,make story different terrific production value faultless photography composition edit terrific casting underappreciated brian keith play bully teddy vivid history
"Though The Wind and the Lion is told largely through the eyes of the son, every member of the family can identify with one of the characters, whether it be Sean Connery's noble brigand, Candace Bergen's feisty heroine, John Huston's wily John Hay or Steve Kanaly's spiffy, radiant, ruthless can-do lieutenant, Roosevelt's ""Big Stick"".  ",1,though wind lion tell largely eyes son every member family identify one character whether sean connerys noble brigand candace bergens feisty heroine john huston wily john hay steve kanalys spiffy radiant ruthless cando lieutenant roosevelt big stick
This is high adventure at its best.  ,1,high adventure best
"I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.  ",1,think robert ryans best film portray someone like father schizophrenic real lifemy father although never murder anyone affect second world war make bad
Having to humour him just to get by and get through the day was so apt.  ,1,humour get get day apt
"(My mother and brother had to do this)When I saw Robert Ryan portraying this type of man, it was a very good imitation of this type of individual, and I was impressed.  ",1,mother brother thiswhen saw robert ryan portray type man good imitation type individual impress
Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.  ,0,almost song cover girl oldfashioned tuneful
The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.  ,0,annoy thing cover girl way rita hayworth put pedestal
"Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.  ",0,unfortunately cover girl example hollywood use exploit woman financial gain
Non-linear narration thus many flashbacks and every part are articulated quite well.  ,1,nonlinear narration thus many flashback every part articulate quite well
The good cinematography also makes her and Monica Bellucci look very beautiful.  ,1,good cinematography also make monica bellucci look beautiful
A good commentary of today's love and undoubtedly a film worth seeing.  ,1,good commentary today love undoubtedly film worth see
"For people who are first timers in film making, I think they did an excellent job!!  ",1,people first timer film make think excellent job
"It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  ",1,popular cinema good house good reaction plenty laugh
It's a feel-good film and that's how I felt when I came out of the cinema!  ,1,feelgood film thats felt come cinema
It has northern humour and positive about the community it represents.  ,1,northern humour positive community represent
I rather enjoyed it.  ,1,rather enjoy
I liked it.  ,1,like
I couldn't take them seriously.  ,0,couldnt take seriously
It really created a unique feeling though.  ,1,really create unique feeling though
Vivian Schilling did an excellent job with the script.  ,1,vivian schilling excellent job script
A world better than 95% of the garbage in the theatres today.  ,1,world well garbage theatre today
Her role was played well.  ,1,role play well
Not too screamy not to masculine but just right.  ,1,screamy masculine right
The camera really likes her in this movie.  ,1,camera really like movie
I would have casted her in that role after ready the script.  ,1,would cast role ready script
"As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.  ",1,european movie nice throwback time student experience live abroad interact nationality although circumstance slightly different
I am a fan of his ... This movie sucked really bad.  ,0,fan movie suck really bad
Even worse than Ticker!  ,0,even bad ticker
& That movie was bad.  ,0,movie bad
"Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!  ",0,like building use couple location maybe poor hummh
It just blew.  ,0,blew
"This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.  ",1,movie excellentangel beautiful scamp adorablehis little yelps he scaredand funny part whenscamp caught curtain angel scamp sing ive never feel beforei totally recommend movieits come special edition june cover scamp garbage angel underneath lid
"I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!  ",1,cant explain movie romanticcharminghilariousand adorablethe junkyard scene funnyall junkyard dog something specialtoo funny laughedkids love itbuy come outit new feature
Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.  ,0,choose torture disgust piece blatant american propaganda
This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  ,0,show make american stupid full hatred clichés admit elsewhere
"Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.  ",0,almost everyone involved must return school act utterly predictable bad script pile garbage round
"I wish I could enter negative values, admins?  ",0,wish could enter negative value admins
"The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.  ",0,set bad wouldnt look place thunderbird episode
"The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.  ",0,use slowmotion needlessly repeat throughout movie well back bad act bad kind word continuity scene thrown reason whatsoever vehicle look like make corn flake box directorial style border stupidity
"Oh yeah, and the storyline was pathetic too.  ",0,oh yeah storyline pathetic
I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.  ,0,hate write bad review film especially really like star film bad dont believe one second anyone could proud
I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.  ,0,filmmaker director would hide head sand id spend whatever amount money time movie
In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.  ,0,short monumental waste time energy would recommend anyone ever see film
It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.  ,0,come free dvd player buy still turn thing halfway embarrass howell
1/10 - and only because there is no setting for 0/10.  ,0,set
"An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).  ",1,interest premise billy drago always good dangerous nutbag side note id love see drago stephen mchattie lance hendrikson flick together talk rag cheekbone
"The soundtrack wasn't terrible, either.  ",1,soundtrack wasnt terrible either
"But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.  ",0,actingeven professional drago debbie rochonwas terrible direct bad perhaps contributory former dialog chimplike camera work barely tolerable
"Still, it was the SETS that got a big ""10"" on my ""oy-vey"" scale.  ",1,still set get big oyvey scale
"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",0,yes simplify thing sake brevity really core problem film much go without real fulfilling explanation
Both do good jobs and are quite amusing.  ,1,good job quite amuse
"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  ",0,convolute plot didnt convince much film watch weird question glance
"I let my girlfriend talk me into seeing this - bad idea, we both hated it.  ",0,let girlfriend talk see bad idea hat
The last 15 minutes of movie are also not bad as well.  ,1,last minute movie also bad well
"Bela Lugosi was totally extraneous, intoning odd lines.  ",0,bela lugosi totally extraneous intone odd line
"The acting was decidely wooden, though no worse than a period Universal B movie.  ",0,act decidely wooden though bad period universal b movie
"I like Armand Assante & my cable company's summary sounded interesting, so I watched it, twice already, and probably will again.  ",1,like armand assante cable company summary sound interesting watched twice already probably
I believe the screenwriter did a good job of tying up the loose ends.  ,1,believe screenwriter good job tie loose end
My 8/10 score is mostly for the plot.  ,1,score mostly plot
"I won't say any more - I don't like spoilers, so I don't want to be one, but I believe this film is worth your time.  ",1,wont say dont like spoiler dont want one believe film worth time
"Wow, what a bad film.  ",0,wow bad film
"Not frightening in the least, and barely comprehensible.  ",0,frighten least barely comprehensible
"The plot doesn't hang together at all, and the acting is absolutely appalling.  ",0,plot doesnt hang together act absolutely appal
Not even good for camp value!  ,0,even good camp value
"I wasn't expecting Oscar material, but this?  ",0,wasnt expect oscar material
You'd have to have the IQ of particularly stupid mollusk not to see that one coming.  ,0,youd iq particularly stupid mollusk see one come
This film (and I use that word loosely) is an insult to the movie-going public.  ,0,film use word loosely insult moviegoing public
If only someone involved with it knew how to string together narrative!  ,0,someone involve knew string together narrative
"This gets a 1 out of 10, simply because there's nothing lower.  ",0,get simply there nothing low
"This is one I did not have, but I watched it recently on Fox Movie Channel, and was very disappointed.  ",0,one watch recently fox movie channel disappoint
"I know he was a contract player with little control over his scripts, but the acting was as bad as the script.  ",0,know contract player little control script act bad script
"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.  ",0,victor mclaglen even bad brian donlevy almost unrecognizable
"Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.  ",0,consider relation screen taylor stanwyck surprising little chemistry screen two
But the premise of the film was so ridiculous: that the President of the U.S.  ,0,premise film ridiculous president u
The death row scenes were entirely unmoving.  ,0,death row scene entirely unmoving
The only thing worse than Taylor's acting was Stanwyck's singing.  ,0,thing bad taylor act stanwycks sing
"Whatever the producer was going for, he missed entirely.  ",0,whatever producer go miss entirely
I was deeply impressed with the character he played.  ,1,deeply impressed character play
I knew when I saw the film that more great things were to come from this gifted actor.  ,1,knew saw film great thing come gift actor
"A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.  ",0,cheap cheerless heist movie poor characterisation lot underbite style stoic emote think chow yun fat good tomorrow cheesy clichés thrown abandon factory ready poorly execute fly judo roll la john woo
Even the squibs look awful.  ,0,even squibs look awful
At no point in the proceedings does it look remotely like America.  ,0,point proceeding look remotely like america
"The plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.  ",0,plot derivative predictable end like mercy kill
The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.  ,0,awful dialogue hopeless overact everyone get shot top real waste space time
"I was very uneasy with how bad this movie was, but not scared at all.  ",0,uneasy bad movie scar
The dialogue is composed of things that make little sense.  ,0,dialogue compose thing make little sense
"About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.  ",0,minute footage waste show mediocre elderly actor awkwardly babble overwrought pseudosatanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may make word
The directing is sloppy at best.  ,0,direct sloppy best
"Hackneyed writing, certainly, but made even worse by the bad directing.  ",0,hackneyed write certainly make even bad bad directing
"Of course, the acting is blah.  ",0,course act blah
The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,0,act whole cast could put scale balance perfectly overact underact
"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  ",0,finally get end wouldve great handle competent people jerry falwell
"I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.  ",1,loved movie great portrayal family share ups end know special love
"I have seen many movies starring Jaclyn Smith, but my god this was one of her best, though it came out 12 years ago.  ",1,see many movie star jaclyn smith god one best though come year ago
"This movie contained an all-star cast, and what I loved the most was that it opened my eyes to see other actors who I haven't seen before.  ",1,movie contain allstar cast love opened eye see actor havent see
"This movie was kind of long in length, but I enjoyed every minute of it.  ",1,movie kind long length enjoy every minute
Overall I rate this movie a 10 out of a 1-10 scale.  ,1,overall rate movie scale
"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  ",1,lifetime air enough anyone know store sell let know musthave
"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",0,particularly remember sens assault strident cord music would blare little warn even less mean
It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.  ,0,sort pap screen afternoon punish unemployed job
"Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.  ",1,totally different load understatement black comedy film get see remember
"This movie creates its own universe, and is fascinating in every way.  ",1,movie create universe fascinate every way
But this movie really got to me.  ,1,movie really get
See it.  ,1,see
"I really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.  ",1,really hope team behind movie make movie continue kinda weird style
"And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.  ",1,forgot cast superb trond fausa aurvåg perfect role bothersome man doesnt understand
This movie is a good and humorous comment on life in 2006.  ,1,movie good humorous comment life
"I found this move beautiful, enjoyable, and uplifting.  ",1,find move beautiful enjoyable uplifting
"Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.  ",1,initially local site film film buffalo intrigued
Later I found myself lost in the power of the film.  ,1,later find lose power film
The entire audience applauded at the conclusion of the film.  ,1,entire audience applaud conclusion film
"I left the theater with a lilt in my step, joy in my heart and hope for the human race.  ",1,leave theater lilt step joy heart hope human race
Duris has a wholesome appearance and gives a fine performance.  ,1,duris wholesome appearance give fine performance
The rest of the cast also play well.  ,1,rest cast also play well
Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.  ,1,cinematography noteworthy include fine view barcelona famed gaudi tower
About ten minutes into this film I started having second thoughts.  ,0,ten minute film start second thought
About half way through this film I started to dislike it.  ,0,half way film start dislike
"By the time the film ended, I not only disliked it, I despised it.  ",0,time film end disliked despise
What this film lacks is a convincing script.  ,0,film lack convince script
The script looks as if only a rough draft was written and shooting began before a finished script was completed.  ,0,script look rough draft write shoot begin finish script complete
"Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.  ",0,thing happen character personality change plot twist occur real reason script call
The cast is good.  ,1,cast good
"For that, it's worth checking out.  ",1,worth check
This is probably the most irritating show I have ever seen in my entire life.  ,0,probably irritate show ever see entire life
It is indescribably the most annoying and idiotic show I have ever seen.  ,0,indescribably annoy idiotic show ever see
Everything about it is just bad.  ,0,everything bad
"I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.  ",0,could understand kind idiot would produce mess first place mention several season
"The script is bad, very bad  it contains both cheesiness and unethical joke that you normally see in rated R or NC-17 movie.  ",0,script bad bad  contain cheesiness unethical joke normally see rat r nc movie
"The casting is also horrible, cause all you see is a really really BAD Actors, period.  ",0,cast also horrible cause see really really bad actor period
Final Word: This Show is a real torture!!  ,0,final word show real torture
It is zillion times away from reality.  ,0,zillion time away reality
Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  ,0,watch wash machine twirl around wouldnt hurt eye much show
Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.  ,0,rating grade z note show bad even mother cast pull daughter show
20th Century Fox's ROAD HOUSE 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie.  ,0,th century fox road house quite silly noir implausible unmitigated bore movie
"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",0,full unconvincing cardboard character blandly write edward chodorov also produce surprisingly direct jean negulesco one would expect great deal
From here on the Widmark character turns unintentionally comical!  ,0,widmark character turn unintentionally comical
His losing his marbles so early in the proceedings is totally implausible and unconvincing.  ,0,lose marble early proceeding totally implausible unconvincing
And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  ,0,isnt enough mess movie picture also mar constant use studio set indoor exterior
Whatever prompted such a documentary is beyond me!  ,0,whatever prompt documentary beyond
(very serious spoilers) this movie was a huge disappointment.  ,0,serious spoiler movie huge disappointment
there are so many problems i dont know where to start.  ,0,many problem dont know start
the cast was great.  ,1,cast great
"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.  ",1,steve martin delivers really funny performance middleaged upper class uptight white guy
add betty white and jean smart and you have a great cast - everyone played their parts really well.  ,1,add betty white jean smart great cast everyone play part really well
but the movie makes a lot of serious mistakes.  ,0,movie make lot serious mistake
"first of all, there are enough racial stereotypes and racial jokes to offend everyone.  ",0,first enough racial stereotype racial joke offend everyone
the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,0,movie litter overt racial slur towards black cast member return white depict moron boob
"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  ",0,put race card aside let look major flaw film destroy latifas character
there is no real plot.  ,0,real plot
i wouldnt see this movie again for free.  ,0,wouldnt see movie free
STEAMBOAT WILLIE is an amazingly important film to our cinema history.  ,1,steamboat willie amazingly important film cinema history
This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  ,1,second appearance mickey mouse follow silent plane crazy earlier year probably famous filmmostly groundbreaking
"While you don't yet hear Mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.  ",1,dont yet hear mickey speak ton sound effect music throughout filmsomething take grant huge crowd pleaser
"However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.  ",1,however see short year amaze timeless film actually
"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  ",1,adorable see mickey play turkey straw highly imaginative occasionally cruel way
Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  ,1,clever real crowdpleaserthis film still rank among mickey best film even wonderful year
"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  ",0,bipolarity ruthless thug one minute ruthless killer next minute luvs diaper commercial completely unconvincing
"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  ",0,im terribly disappointed film would receive many award accolade especially far deserve work film
The original Body and Soul (1947) is a masterpiece.  ,1,original body soul masterpiece
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  ",1,john garfield ann revere lilli plmer william conrad canada leeand film one great cinematographer ever grace screenjames wong howe
I don't think there are any redeeming qualities in this remake.  ,0,dont think redeem quality remake
This may be the only bad film he ever made.  ,0,may bad film ever make
So bad...well...it's just bad.  ,0,badwellits bad
"This movie is a solid example of a bad plot and a very, very bad idea all the way.  ",0,movie solid example bad plot bad idea way
It's a shame to see good actors like Thomerson and James make a living in a mess like this.  ,0,shame see good actor like thomerson james make live mess like
I thought it was bad.  ,0,thought bad
"Both films are terrible, but to the credit of the 1986 version, it was watchable.  ",0,film terrible credit version watchable
"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  ",0,let start problemsthe act especially lead professor bad
The script is a big flawed mess.  ,0,script big flaw mess
The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  ,0,best example dumb write establish turn zombiestudents back human remove necklace contain piece meteorite
"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  ",0,director paul matthew also wrotedirected weak monster movie grim clearly doesnt know pace film
The movie is terribly boring in places.  ,0,movie terribly boring place
The lighting is awful.  ,0,light awful
The film looks cheap and bland.  ,0,film look cheap bland
One of the most disappointing aspects is the lack of notable gore.  ,0,one disappointing aspect lack notable gore
"This convention never worked well in the past, and certainly doesn't work here.  ",0,convention never work well past certainly doesnt work
The visual effects were AWFUL.  ,0,visual effect awful
The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  ,0,cg open sequence space look like could create microsoft slideshow god sake
"The ""explosion"" of the Gas tanks at the end was just as awful.  ",0,explosion gas tank end awful
"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  ",1,okay like consider fair critic ill give credit credit duethe creature effect actually pretty cool
"Gotta love those close-ups of slimy, drooling teeth!  ",1,get ta love closeup slimy drool teeth
"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  ",0,sum film breeder terrible cheaply make horror movie avoid like ebola virus
Not recommended.  ,0,recommend
"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  ",0,almost unbearable watch screen little charisma terrible comedic timing
"Aside from it's terrible lead, this film has loads of other debits.  ",0,aside terrible lead film load debit
"I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.  ",0,understand suppose cheap popcorn comedy doesnt mean completely insult intelligence write incredibly hackneyed border offensive
"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",0,lewis black considerable talent waste incendiary unrestrained pg rating certainly wont allow
The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  ,1,film sole bright spot jonah hill look almost unrecognizable fan recent superbad due amount weight lose interim
"With the originality and freshness of the first movie now spent, this remake had little else to offer.  ",0,originality freshness first movie spend remake little else offer
The budget was evidently very limited.  ,0,budget evidently limit
"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",0,reflect cast also belowpar script borrow much earlier classic
"However, here there was no decent acting, action or location work to balance things up.  ",0,however decent act action location work balance thing
Filmiing was less expansive.  ,0,filmiing less expansive
It failed to convey the broad sweep of landscapes that were a great part of the original.  ,0,fail convey broad sweep landscape great part original
Generally; it just lacked imagination.  ,0,generally lack imagination
Not recommended.  ,0,recommend
Is it possible for a movie to get any worse than this?  ,0,possible movie get bad
There is no plot here to keep you going in the first place.  ,0,plot keep go first place
"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",0,even woman finally show sign improvement expect thing happen time film might far asleep
"Beware: this is not a trashy cult movie, this is trash -period!  ",0,beware trashy cult movie trash period
I can't believe there's even a sequel to this!  ,0,cant believe there even sequel
Which is precisely why I am giving it such a bad review!  ,0,precisely give bad review
"Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  ",1,child truly enjoy show proudly say enjoy big time even classical wb cartoon
"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  ",1,tiny toon keep vibe deliver one popular funny underrate cartoon ever create
The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  ,1,memory murky say enjoy every single episode product relate show
"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  ",1,easily none cartoon make laugh tender way get dark sitcom orient teenager
The characters were all funny and had the peculiarity of not having a true lead character.  ,1,character funny peculiarity true lead character
Every single character was hilarious and deserved to be called a lead.  ,1,every single character hilarious deserve call lead
